"Notes"	"State"	"State Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"California"	"06"	"Hospice facility"	"5"	12075	Not Applicable	Not Applicable
	"California"	"06"	"Nursing home/long term care"	"6"	102442	Not Applicable	Not Applicable
	"California"	"06"	"Other"	"7"	53393	Not Applicable	Not Applicable
	"California"	"06"	"Place of death unknown"	"9"	15	Not Applicable	Not Applicable
	"Colorado"	"08"	"Medical Facility - Inpatient"	"1"	18825	Not Applicable	Not Applicable
	"Colorado"	"08"	"Medical Facility - Outpatient or ER"	"2"	3841	Not Applicable	Not Applicable
	"Colorado"	"08"	"Medical Facility - Dead on Arrival"	"3"	104	Not Applicable	Not Applicable
	"Colorado"	"08"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Colorado"	"08"	"Decedent's home"	"4"	29186	Not Applicable	Not Applicable
	"Colorado"	"08"	"Hospice facility"	"5"	9818	Not Applicable	Not Applicable
	"Colorado"	"08"	"Nursing home/long term care"	"6"	21759	Not Applicable	Not Applicable
	"Colorado"	"08"	"Other"	"7"	4547	Not Applicable	Not Applicable
	"Colorado"	"08"	"Place of death unknown"	"9"	435	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Medical Facility - Inpatient"	"1"	24571	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Medical Facility - Outpatient or ER"	"2"	4993	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Medical Facility - Dead on Arrival"	"3"	643	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Connecticut"	"09"	"Decedent's home"	"4"	18420	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Hospice facility"	"5"	3986	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Nursing home/long term care"	"6"	17613	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Other"	"7"	2846	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Place of death unknown"	"9"	95	Not Applicable	Not Applicable
	"Delaware"	"10"	"Medical Facility - Inpatient"	"1"	5150	Not Applicable	Not Applicable
	"Delaware"	"10"	"Medical Facility - Outpatient or ER"	"2"	1167	Not Applicable	Not Applicable
	"Delaware"	"10"	"Medical Facility - Dead on Arrival"	"3"	47	Not Applicable	Not Applicable
	"Delaware"	"10"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Delaware"	"10"	"Decedent's home"	"4"	6710	Not Applicable	Not Applicable
	"Delaware"	"10"	"Hospice facility"	"5"	3626	Not Applicable	Not Applicable
	"Delaware"	"10"	"Nursing home/long term care"	"6"	3466	Not Applicable	Not Applicable
	"Delaware"	"10"	"Other"	"7"	972	Not Applicable	Not Applicable
	"Delaware"	"10"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Medical Facility - Inpatient"	"1"	4206	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Medical Facility - Outpatient or ER"	"2"	1268	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"District of Columbia"	"11"	"Decedent's home"	"4"	2812	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Hospice facility"	"5"	907	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Nursing home/long term care"	"6"	1492	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Other"	"7"	1019	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"Medical Facility - Inpatient"	"1"	123989	Not Applicable	Not Applicable
	"Florida"	"12"	"Medical Facility - Outpatient or ER"	"2"	29117	Not Applicable	Not Applicable
	"Florida"	"12"	"Medical Facility - Dead on Arrival"	"3"	566	Not Applicable	Not Applicable
	"Florida"	"12"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Florida"	"12"	"Decedent's home"	"4"	126551	Not Applicable	Not Applicable
	"Florida"	"12"	"Hospice facility"	"5"	98597	Not Applicable	Not Applicable
	"Florida"	"12"	"Nursing home/long term care"	"6"	51262	Not Applicable	Not Applicable
	"Florida"	"12"	"Other"	"7"	39551	Not Applicable	Not Applicable
	"Florida"	"12"	"Place of death unknown"	"9"	18	Not Applicable	Not Applicable
	"Georgia"	"13"	"Medical Facility - Inpatient"	"1"	53264	Not Applicable	Not Applicable
	"Georgia"	"13"	"Medical Facility - Outpatient or ER"	"2"	18847	Not Applicable	Not Applicable
	"Georgia"	"13"	"Medical Facility - Dead on Arrival"	"3"	2903	Not Applicable	Not Applicable
	"Georgia"	"13"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Georgia"	"13"	"Decedent's home"	"4"	58139	Not Applicable	Not Applicable
	"Georgia"	"13"	"Hospice facility"	"5"	22431	Not Applicable	Not Applicable
	"Georgia"	"13"	"Nursing home/long term care"	"6"	25886	Not Applicable	Not Applicable
	"Georgia"	"13"	"Other"	"7"	11671	Not Applicable	Not Applicable
	"Georgia"	"13"	"Place of death unknown"	"9"	31	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	7741	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	2103	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	924	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Hawaii"	"15"	"Decedent's home"	"4"	8313	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Hospice facility"	"5"	1348	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	3675	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	2214	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	7233	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	1302	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Dead on Arrival"	"3"	45	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Idaho"	"16"	"Decedent's home"	"4"	12284	Not Applicable	Not Applicable
	"Idaho"	"16"	"Hospice facility"	"5"	1326	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	8188	Not Applicable	Not Applicable
	"Idaho"	"16"	"Other"	"7"	1770	Not Applicable	Not Applicable
	"Idaho"	"16"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	78848	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Outpatient or ER"	"2"	19931	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Dead on Arrival"	"3"	847	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Illinois"	"17"	"Decedent's home"	"4"	74022	Not Applicable	Not Applicable
	"Illinois"	"17"	"Hospice facility"	"5"	14933	Not Applicable	Not Applicable
	"Illinois"	"17"	"Nursing home/long term care"	"6"	53439	Not Applicable	Not Applicable
	"Illinois"	"17"	"Other"	"7"	12954	Not Applicable	Not Applicable
	"Illinois"	"17"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Indiana"	"18"	"Medical Facility - Inpatient"	"1"	46674	Not Applicable	Not Applicable
	"Indiana"	"18"	"Medical Facility - Outpatient or ER"	"2"	7020	Not Applicable	Not Applicable
	"Indiana"	"18"	"Medical Facility - Dead on Arrival"	"3"	188	Not Applicable	Not Applicable
	"Indiana"	"18"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Indiana"	"18"	"Decedent's home"	"4"	44695	Not Applicable	Not Applicable
	"Indiana"	"18"	"Hospice facility"	"5"	7765	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nursing home/long term care"	"6"	38787	Not Applicable	Not Applicable
	"Indiana"	"18"	"Other"	"7"	6565	Not Applicable	Not Applicable
	"Indiana"	"18"	"Place of death unknown"	"9"	25	Not Applicable	Not Applicable
	"Iowa"	"19"	"Medical Facility - Inpatient"	"1"	18749	Not Applicable	Not Applicable
	"Iowa"	"19"	"Medical Facility - Outpatient or ER"	"2"	3615	Not Applicable	Not Applicable
	"Iowa"	"19"	"Medical Facility - Dead on Arrival"	"3"	271	Not Applicable	Not Applicable
	"Iowa"	"19"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Iowa"	"19"	"Decedent's home"	"4"	15212	Not Applicable	Not Applicable
	"Iowa"	"19"	"Hospice facility"	"5"	6929	Not Applicable	Not Applicable
	"Iowa"	"19"	"Nursing home/long term care"	"6"	23497	Not Applicable	Not Applicable
	"Iowa"	"19"	"Other"	"7"	2323	Not Applicable	Not Applicable
	"Iowa"	"19"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Kansas"	"20"	"Medical Facility - Inpatient"	"1"	16743	Not Applicable	Not Applicable
	"Kansas"	"20"	"Medical Facility - Outpatient or ER"	"2"	3167	Not Applicable	Not Applicable
	"Kansas"	"20"	"Medical Facility - Dead on Arrival"	"3"	70	Not Applicable	Not Applicable
	"Kansas"	"20"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Kansas"	"20"	"Decedent's home"	"4"	16965	Not Applicable	Not Applicable
	"Kansas"	"20"	"Hospice facility"	"5"	5458	Not Applicable	Not Applicable
	"Kansas"	"20"	"Nursing home/long term care"	"6"	18166	Not Applicable	Not Applicable
	"Kansas"	"20"	"Other"	"7"	2708	Not Applicable	Not Applicable
	"Kansas"	"20"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Medical Facility - Inpatient"	"1"	37828	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Medical Facility - Outpatient or ER"	"2"	8766	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Medical Facility - Dead on Arrival"	"3"	229	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Kentucky"	"21"	"Decedent's home"	"4"	33011	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Hospice facility"	"5"	9402	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Nursing home/long term care"	"6"	18350	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Other"	"7"	4885	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Medical Facility - Inpatient"	"1"	30674	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Medical Facility - Outpatient or ER"	"2"	7980	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Medical Facility - Dead on Arrival"	"3"	178	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Louisiana"	"22"	"Decedent's home"	"4"	37152	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Hospice facility"	"5"	6489	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Nursing home/long term care"	"6"	16942	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Other"	"7"	6075	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Maine"	"23"	"Medical Facility - Inpatient"	"1"	8960	Not Applicable	Not Applicable
	"Maine"	"23"	"Medical Facility - Outpatient or ER"	"2"	971	Not Applicable	Not Applicable
	"Maine"	"23"	"Medical Facility - Dead on Arrival"	"3"	25	Not Applicable	Not Applicable
	"Maine"	"23"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Maine"	"23"	"Decedent's home"	"4"	10099	Not Applicable	Not Applicable
	"Maine"	"23"	"Hospice facility"	"5"	3297	Not Applicable	Not Applicable
	"Maine"	"23"	"Nursing home/long term care"	"6"	8866	Not Applicable	Not Applicable
	"Maine"	"23"	"Other"	"7"	1726	Not Applicable	Not Applicable
	"Maine"	"23"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Maryland"	"24"	"Medical Facility - Inpatient"	"1"	31287	Not Applicable	Not Applicable
	"Maryland"	"24"	"Medical Facility - Outpatient or ER"	"2"	8340	Not Applicable	Not Applicable
	"Maryland"	"24"	"Medical Facility - Dead on Arrival"	"3"	216	Not Applicable	Not Applicable
	"Maryland"	"24"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Maryland"	"24"	"Decedent's home"	"4"	30476	Not Applicable	Not Applicable
	"Maryland"	"24"	"Hospice facility"	"5"	13209	Not Applicable	Not Applicable
	"Maryland"	"24"	"Nursing home/long term care"	"6"	18154	Not Applicable	Not Applicable
	"Maryland"	"24"	"Other"	"7"	13701	Not Applicable	Not Applicable
	"Maryland"	"24"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Medical Facility - Inpatient"	"1"	40425	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Medical Facility - Outpatient or ER"	"2"	10358	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Medical Facility - Dead on Arrival"	"3"	1520	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Massachusetts"	"25"	"Decedent's home"	"4"	35361	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Hospice facility"	"5"	7216	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Nursing home/long term care"	"6"	36451	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Other"	"7"	6932	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"Place of death unknown"	"9"	12	Not Applicable	Not Applicable
	"Michigan"	"26"	"Medical Facility - Inpatient"	"1"	68270	Not Applicable	Not Applicable
	"Michigan"	"26"	"Medical Facility - Outpatient or ER"	"2"	14701	Not Applicable	Not Applicable
	"Michigan"	"26"	"Medical Facility - Dead on Arrival"	"3"	735	Not Applicable	Not Applicable
	"Michigan"	"26"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Michigan"	"26"	"Decedent's home"	"4"	75521	Not Applicable	Not Applicable
	"Michigan"	"26"	"Hospice facility"	"5"	17001	Not Applicable	Not Applicable
	"Michigan"	"26"	"Nursing home/long term care"	"6"	45228	Not Applicable	Not Applicable
	"Michigan"	"26"	"Other"	"7"	7567	Not Applicable	Not Applicable
	"Michigan"	"26"	"Place of death unknown"	"9"	242	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Medical Facility - Inpatient"	"1"	25282	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Medical Facility - Outpatient or ER"	"2"	3522	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Medical Facility - Dead on Arrival"	"3"	126	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Minnesota"	"27"	"Decedent's home"	"4"	30629	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Hospice facility"	"5"	4060	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Nursing home/long term care"	"6"	29784	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Other"	"7"	8349	Not Applicable	Not Applicable
	"Minnesota"	"27"	"Place of death unknown"	"9"	46	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Medical Facility - Inpatient"	"1"	26573	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Medical Facility - Outpatient or ER"	"2"	6372	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Medical Facility - Dead on Arrival"	"3"	328	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Mississippi"	"28"	"Decedent's home"	"4"	23402	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Hospice facility"	"5"	3603	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Nursing home/long term care"	"6"	10667	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Other"	"7"	4164	Not Applicable	Not Applicable
	"Mississippi"	"28"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"Medical Facility - Inpatient"	"1"	39325	Not Applicable	Not Applicable
	"Missouri"	"29"	"Medical Facility - Outpatient or ER"	"2"	8761	Not Applicable	Not Applicable
	"Missouri"	"29"	"Medical Facility - Dead on Arrival"	"3"	169	Not Applicable	Not Applicable
	"Missouri"	"29"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Missouri"	"29"	"Decedent's home"	"4"	46243	Not Applicable	Not Applicable
	"Missouri"	"29"	"Hospice facility"	"5"	5310	Not Applicable	Not Applicable
	"Missouri"	"29"	"Nursing home/long term care"	"6"	38220	Not Applicable	Not Applicable
	"Missouri"	"29"	"Other"	"7"	6496	Not Applicable	Not Applicable
	"Missouri"	"29"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Montana"	"30"	"Medical Facility - Inpatient"	"1"	6382	Not Applicable	Not Applicable
	"Montana"	"30"	"Medical Facility - Outpatient or ER"	"2"	978	Not Applicable	Not Applicable
	"Montana"	"30"	"Medical Facility - Dead on Arrival"	"3"	44	Not Applicable	Not Applicable
	"Montana"	"30"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Montana"	"30"	"Decedent's home"	"4"	7576	Not Applicable	Not Applicable
	"Montana"	"30"	"Hospice facility"	"5"	1167	Not Applicable	Not Applicable
	"Montana"	"30"	"Nursing home/long term care"	"6"	6211	Not Applicable	Not Applicable
	"Montana"	"30"	"Other"	"7"	1171	Not Applicable	Not Applicable
	"Montana"	"30"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Medical Facility - Inpatient"	"1"	10947	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Medical Facility - Outpatient or ER"	"2"	2232	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Medical Facility - Dead on Arrival"	"3"	53	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Nebraska"	"31"	"Decedent's home"	"4"	9129	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Hospice facility"	"5"	1298	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Nursing home/long term care"	"6"	12034	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Other"	"7"	3588	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Nevada"	"32"	"Medical Facility - Inpatient"	"1"	18706	Not Applicable	Not Applicable
	"Nevada"	"32"	"Medical Facility - Outpatient or ER"	"2"	4752	Not Applicable	Not Applicable
	"Nevada"	"32"	"Medical Facility - Dead on Arrival"	"3"	53	Not Applicable	Not Applicable
	"Nevada"	"32"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"Nevada"	"32"	"Decedent's home"	"4"	19234	Not Applicable	Not Applicable
	"Nevada"	"32"	"Hospice facility"	"5"	6248	Not Applicable	Not Applicable
	"Nevada"	"32"	"Nursing home/long term care"	"6"	5962	Not Applicable	Not Applicable
	"Nevada"	"32"	"Other"	"7"	1909	Not Applicable	Not Applicable
	"Nevada"	"32"	"Place of death unknown"	"9"	17	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Medical Facility - Inpatient"	"1"	7717	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Medical Facility - Outpatient or ER"	"2"	1395	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Medical Facility - Dead on Arrival"	"3"	73	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"New Hampshire"	"33"	"Decedent's home"	"4"	8466	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Hospice facility"	"5"	1899	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Nursing home/long term care"	"6"	8000	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Other"	"7"	1607	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Medical Facility - Inpatient"	"1"	58665	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Medical Facility - Outpatient or ER"	"2"	11423	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Medical Facility - Dead on Arrival"	"3"	951	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"New Jersey"	"34"	"Decedent's home"	"4"	49643	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Hospice facility"	"5"	9070	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Nursing home/long term care"	"6"	36935	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Other"	"7"	8541	Not Applicable	Not Applicable
	"New Jersey"	"34"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Medical Facility - Inpatient"	"1"	11299	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Medical Facility - Outpatient or ER"	"2"	2290	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Medical Facility - Dead on Arrival"	"3"	48	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"New Mexico"	"35"	"Decedent's home"	"4"	17143	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Hospice facility"	"5"	2881	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Nursing home/long term care"	"6"	7051	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Other"	"7"	3048	Not Applicable	Not Applicable
	"New Mexico"	"35"	"Place of death unknown"	"9"	10	Not Applicable	Not Applicable
	"New York"	"36"	"Medical Facility - Inpatient"	"1"	139178	Not Applicable	Not Applicable
	"New York"	"36"	"Medical Facility - Outpatient or ER"	"2"	26794	Not Applicable	Not Applicable
	"New York"	"36"	"Medical Facility - Dead on Arrival"	"3"	3247	Not Applicable	Not Applicable
	"New York"	"36"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"New York"	"36"	"Decedent's home"	"4"	96360	Not Applicable	Not Applicable
	"New York"	"36"	"Hospice facility"	"5"	21177	Not Applicable	Not Applicable
	"New York"	"36"	"Nursing home/long term care"	"6"	71770	Not Applicable	Not Applicable
	"New York"	"36"	"Other"	"7"	8092	Not Applicable	Not Applicable
	"New York"	"36"	"Place of death unknown"	"9"	28	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Medical Facility - Inpatient"	"1"	60287	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Medical Facility - Outpatient or ER"	"2"	10351	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Medical Facility - Dead on Arrival"	"3"	1419	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
	"North Carolina"	"37"	"Decedent's home"	"4"	61682	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Hospice facility"	"5"	33149	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Nursing home/long term care"	"6"	37031	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Other"	"7"	11345	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Place of death unknown"	"9"	280	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Medical Facility - Inpatient"	"1"	5028	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Medical Facility - Outpatient or ER"	"2"	728	Not Applicable	Not Applicable
