"Notes"	"Gender"	"Gender Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"20-24 years"	"20-24"	"#Septicemia (A40-A41)"	"GR113-010"	64	Not Applicable	Not Applicable
	"Female"	"F"	"20-24 years"	"20-24"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	487	Not Applicable	Not Applicable
	"Female"	"F"	"20-24 years"	"20-24"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	122	Not Applicable	Not Applicable
	"Female"	"F"	"20-24 years"	"20-24"	"#Alzheimer disease (G30)"	"GR113-052"	0	Not Applicable	Not Applicable
	"Female"	"F"	"20-24 years"	"20-24"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	317	Not Applicable	Not Applicable
	"Female"	"F"	"20-24 years"	"20-24"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	70	Not Applicable	Not Applicable
	"Female"	"F"	"20-24 years"	"20-24"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	80	Not Applicable	Not Applicable
	"Female"	"F"	"20-24 years"	"20-24"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	76	Not Applicable	Not Applicable
	"Female"	"F"	"20-24 years"	"20-24"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	52	Not Applicable	Not Applicable
	"Female"	"F"	"20-24 years"	"20-24"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	26	Not Applicable	Not Applicable
	"Female"	"F"	"20-24 years"	"20-24"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	181	Not Applicable	Not Applicable
	"Female"	"F"	"25-29 years"	"25-29"	"#Septicemia (A40-A41)"	"GR113-010"	129	Not Applicable	Not Applicable
	"Female"	"F"	"25-29 years"	"25-29"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	981	Not Applicable	Not Applicable
	"Female"	"F"	"25-29 years"	"25-29"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	228	Not Applicable	Not Applicable
	"Female"	"F"	"25-29 years"	"25-29"	"#Alzheimer disease (G30)"	"GR113-052"	0	Not Applicable	Not Applicable
	"Female"	"F"	"25-29 years"	"25-29"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	724	Not Applicable	Not Applicable
	"Female"	"F"	"25-29 years"	"25-29"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	129	Not Applicable	Not Applicable
	"Female"	"F"	"25-29 years"	"25-29"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	118	Not Applicable	Not Applicable
	"Female"	"F"	"25-29 years"	"25-29"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	83	Not Applicable	Not Applicable
	"Female"	"F"	"25-29 years"	"25-29"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	93	Not Applicable	Not Applicable
	"Female"	"F"	"25-29 years"	"25-29"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	73	Not Applicable	Not Applicable
	"Female"	"F"	"25-29 years"	"25-29"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	243	Not Applicable	Not Applicable
	"Female"	"F"	"30-34 years"	"30-34"	"#Septicemia (A40-A41)"	"GR113-010"	182	Not Applicable	Not Applicable
	"Female"	"F"	"30-34 years"	"30-34"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2157	Not Applicable	Not Applicable
	"Female"	"F"	"30-34 years"	"30-34"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	342	Not Applicable	Not Applicable
	"Female"	"F"	"30-34 years"	"30-34"	"#Alzheimer disease (G30)"	"GR113-052"	2	Not Applicable	Not Applicable
	"Female"	"F"	"30-34 years"	"30-34"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	1261	Not Applicable	Not Applicable
	"Female"	"F"	"30-34 years"	"30-34"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	269	Not Applicable	Not Applicable
	"Female"	"F"	"30-34 years"	"30-34"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	187	Not Applicable	Not Applicable
	"Female"	"F"	"30-34 years"	"30-34"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	144	Not Applicable	Not Applicable
	"Female"	"F"	"30-34 years"	"30-34"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	118	Not Applicable	Not Applicable
	"Female"	"F"	"30-34 years"	"30-34"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	124	Not Applicable	Not Applicable
	"Female"	"F"	"30-34 years"	"30-34"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	289	Not Applicable	Not Applicable
	"Female"	"F"	"35-39 years"	"35-39"	"#Septicemia (A40-A41)"	"GR113-010"	270	Not Applicable	Not Applicable
	"Female"	"F"	"35-39 years"	"35-39"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	3844	Not Applicable	Not Applicable
	"Female"	"F"	"35-39 years"	"35-39"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	515	Not Applicable	Not Applicable
	"Female"	"F"	"35-39 years"	"35-39"	"#Alzheimer disease (G30)"	"GR113-052"	0	Not Applicable	Not Applicable
	"Female"	"F"	"35-39 years"	"35-39"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2131	Not Applicable	Not Applicable
	"Female"	"F"	"35-39 years"	"35-39"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	475	Not Applicable	Not Applicable
	"Female"	"F"	"35-39 years"	"35-39"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	241	Not Applicable	Not Applicable
	"Female"	"F"	"35-39 years"	"35-39"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	182	Not Applicable	Not Applicable
	"Female"	"F"	"35-39 years"	"35-39"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	160	Not Applicable	Not Applicable
	"Female"	"F"	"35-39 years"	"35-39"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	203	Not Applicable	Not Applicable
	"Female"	"F"	"35-39 years"	"35-39"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	335	Not Applicable	Not Applicable
	"Female"	"F"	"40-44 years"	"40-44"	"#Septicemia (A40-A41)"	"GR113-010"	414	Not Applicable	Not Applicable
	"Female"	"F"	"40-44 years"	"40-44"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	6517	Not Applicable	Not Applicable
	"Female"	"F"	"40-44 years"	"40-44"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	762	Not Applicable	Not Applicable
	"Female"	"F"	"40-44 years"	"40-44"	"#Alzheimer disease (G30)"	"GR113-052"	7	Not Applicable	Not Applicable
	"Female"	"F"	"40-44 years"	"40-44"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	3353	Not Applicable	Not Applicable
	"Female"	"F"	"40-44 years"	"40-44"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	847	Not Applicable	Not Applicable
	"Female"	"F"	"40-44 years"	"40-44"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	392	Not Applicable	Not Applicable
	"Female"	"F"	"40-44 years"	"40-44"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	396	Not Applicable	Not Applicable
	"Female"	"F"	"40-44 years"	"40-44"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	263	Not Applicable	Not Applicable
	"Female"	"F"	"40-44 years"	"40-44"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	313	Not Applicable	Not Applicable
	"Female"	"F"	"40-44 years"	"40-44"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	395	Not Applicable	Not Applicable
	"Female"	"F"	"45-49 years"	"45-49"	"#Septicemia (A40-A41)"	"GR113-010"	663	Not Applicable	Not Applicable
	"Female"	"F"	"45-49 years"	"45-49"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	12106	Not Applicable	Not Applicable
	"Female"	"F"	"45-49 years"	"45-49"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1438	Not Applicable	Not Applicable
	"Female"	"F"	"45-49 years"	"45-49"	"#Alzheimer disease (G30)"	"GR113-052"	17	Not Applicable	Not Applicable
	"Female"	"F"	"45-49 years"	"45-49"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	5998	Not Applicable	Not Applicable
	"Female"	"F"	"45-49 years"	"45-49"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	1380	Not Applicable	Not Applicable
	"Female"	"F"	"45-49 years"	"45-49"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	635	Not Applicable	Not Applicable
	"Female"	"F"	"45-49 years"	"45-49"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	939	Not Applicable	Not Applicable
	"Female"	"F"	"45-49 years"	"45-49"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	436	Not Applicable	Not Applicable
	"Female"	"F"	"45-49 years"	"45-49"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	540	Not Applicable	Not Applicable
	"Female"	"F"	"45-49 years"	"45-49"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	512	Not Applicable	Not Applicable
	"Female"	"F"	"50-54 years"	"50-54"	"#Septicemia (A40-A41)"	"GR113-010"	1236	Not Applicable	Not Applicable
	"Female"	"F"	"50-54 years"	"50-54"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	22345	Not Applicable	Not Applicable
	"Female"	"F"	"50-54 years"	"50-54"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	2344	Not Applicable	Not Applicable
	"Female"	"F"	"50-54 years"	"50-54"	"#Alzheimer disease (G30)"	"GR113-052"	69	Not Applicable	Not Applicable
	"Female"	"F"	"50-54 years"	"50-54"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	10600	Not Applicable	Not Applicable
	"Female"	"F"	"50-54 years"	"50-54"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	2420	Not Applicable	Not Applicable
	"Female"	"F"	"50-54 years"	"50-54"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	927	Not Applicable	Not Applicable
	"Female"	"F"	"50-54 years"	"50-54"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2754	Not Applicable	Not Applicable
	"Female"	"F"	"50-54 years"	"50-54"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	805	Not Applicable	Not Applicable
	"Female"	"F"	"50-54 years"	"50-54"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	914	Not Applicable	Not Applicable
	"Female"	"F"	"50-54 years"	"50-54"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	618	Not Applicable	Not Applicable
	"Female"	"F"	"55-59 years"	"55-59"	"#Septicemia (A40-A41)"	"GR113-010"	1875	Not Applicable	Not Applicable
	"Female"	"F"	"55-59 years"	"55-59"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	37521	Not Applicable	Not Applicable
	"Female"	"F"	"55-59 years"	"55-59"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	3760	Not Applicable	Not Applicable
	"Female"	"F"	"55-59 years"	"55-59"	"#Alzheimer disease (G30)"	"GR113-052"	272	Not Applicable	Not Applicable
	"Female"	"F"	"55-59 years"	"55-59"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	16914	Not Applicable	Not Applicable
	"Female"	"F"	"55-59 years"	"55-59"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	3599	Not Applicable	Not Applicable
	"Female"	"F"	"55-59 years"	"55-59"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	1457	Not Applicable	Not Applicable
	"Female"	"F"	"55-59 years"	"55-59"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	5949	Not Applicable	Not Applicable
	"Female"	"F"	"55-59 years"	"55-59"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	1383	Not Applicable	Not Applicable
	"Female"	"F"	"55-59 years"	"55-59"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	1542	Not Applicable	Not Applicable
	"Female"	"F"	"55-59 years"	"55-59"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	824	Not Applicable	Not Applicable
	"Female"	"F"	"60-64 years "	"60-64"	"#Septicemia (A40-A41)"	"GR113-010"	2551	Not Applicable	Not Applicable
	"Female"	"F"	"60-64 years "	"60-64"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	49502	Not Applicable	Not Applicable
	"Female"	"F"	"60-64 years "	"60-64"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	5280	Not Applicable	Not Applicable
	"Female"	"F"	"60-64 years "	"60-64"	"#Alzheimer disease (G30)"	"GR113-052"	737	Not Applicable	Not Applicable
	"Female"	"F"	"60-64 years "	"60-64"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	23206	Not Applicable	Not Applicable
	"Female"	"F"	"60-64 years "	"60-64"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	4997	Not Applicable	Not Applicable
	"Female"	"F"	"60-64 years "	"60-64"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	2123	Not Applicable	Not Applicable
	"Female"	"F"	"60-64 years "	"60-64"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	8955	Not Applicable	Not Applicable
	"Female"	"F"	"60-64 years "	"60-64"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	2048	Not Applicable	Not Applicable
	"Female"	"F"	"60-64 years "	"60-64"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	2359	Not Applicable	Not Applicable
	"Female"	"F"	"60-64 years "	"60-64"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	1018	Not Applicable	Not Applicable
	"Female"	"F"	"65-69 years"	"65-69"	"#Septicemia (A40-A41)"	"GR113-010"	3334	Not Applicable	Not Applicable
	"Female"	"F"	"65-69 years"	"65-69"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	60244	Not Applicable	Not Applicable
	"Female"	"F"	"65-69 years"	"65-69"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	6557	Not Applicable	Not Applicable
	"Female"	"F"	"65-69 years"	"65-69"	"#Alzheimer disease (G30)"	"GR113-052"	1712	Not Applicable	Not Applicable
	"Female"	"F"	"65-69 years"	"65-69"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	29583	Not Applicable	Not Applicable
	"Female"	"F"	"65-69 years"	"65-69"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	7049	Not Applicable	Not Applicable
	"Female"	"F"	"65-69 years"	"65-69"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	2747	Not Applicable	Not Applicable
	"Female"	"F"	"65-69 years"	"65-69"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13356	Not Applicable	Not Applicable
	"Female"	"F"	"65-69 years"	"65-69"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	2839	Not Applicable	Not Applicable
	"Female"	"F"	"65-69 years"	"65-69"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	3302	Not Applicable	Not Applicable
	"Female"	"F"	"65-69 years"	"65-69"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	1173	Not Applicable	Not Applicable
	"Female"	"F"	"70-74 years"	"70-74"	"#Septicemia (A40-A41)"	"GR113-010"	3777	Not Applicable	Not Applicable
	"Female"	"F"	"70-74 years"	"70-74"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	63585	Not Applicable	Not Applicable
	"Female"	"F"	"70-74 years"	"70-74"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	7258	Not Applicable	Not Applicable
	"Female"	"F"	"70-74 years"	"70-74"	"#Alzheimer disease (G30)"	"GR113-052"	4573	Not Applicable	Not Applicable
	"Female"	"F"	"70-74 years"	"70-74"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	37194	Not Applicable	Not Applicable
	"Female"	"F"	"70-74 years"	"70-74"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	9914	Not Applicable	Not Applicable
	"Female"	"F"	"70-74 years"	"70-74"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	3520	Not Applicable	Not Applicable
	"Female"	"F"	"70-74 years"	"70-74"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	18770	Not Applicable	Not Applicable
	"Female"	"F"	"70-74 years"	"70-74"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	3725	Not Applicable	Not Applicable
	"Female"	"F"	"70-74 years"	"70-74"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	4159	Not Applicable	Not Applicable
	"Female"	"F"	"70-74 years"	"70-74"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	1463	Not Applicable	Not Applicable
	"Female"	"F"	"75-79 years"	"75-79"	"#Septicemia (A40-A41)"	"GR113-010"	4277	Not Applicable	Not Applicable
	"Female"	"F"	"75-79 years"	"75-79"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	62070	Not Applicable	Not Applicable
	"Female"	"F"	"75-79 years"	"75-79"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	7535	Not Applicable	Not Applicable
	"Female"	"F"	"75-79 years"	"75-79"	"#Alzheimer disease (G30)"	"GR113-052"	10352	Not Applicable	Not Applicable
	"Female"	"F"	"75-79 years"	"75-79"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	46629	Not Applicable	Not Applicable
	"Female"	"F"	"75-79 years"	"75-79"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	13910	Not Applicable	Not Applicable
	"Female"	"F"	"75-79 years"	"75-79"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	4398	Not Applicable	Not Applicable
	"Female"	"F"	"75-79 years"	"75-79"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	21446	Not Applicable	Not Applicable
	"Female"	"F"	"75-79 years"	"75-79"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	4333	Not Applicable	Not Applicable
